Symbol,Name,Sector,Market Cap Type,Full Time Employees,City,State,AVG CLOSING PRE 08,STD PRE 08,AVG VOLUME PRE 08,% Change Pre-During 08,AVG CLOSING DURING 08,STD DURING 08,AVG VOLUME DURING 08,% Change During-Post 08,AVG CLOSING POST 08,STD POST 08,AVG VOLUME POST 08,AVG CLOSING PRE COVID,STD PRE COVID,AVG VOLUME PRE COVID,% Change Pre-During COVID,AVG CLOSING DURING COVID,STD DURING COVID,AVG VOLUME DURING COVID
FFBC,First Financial Bancorp.,Financial Services,Small Cap Stock,2067,Cincinnati,OH,8.097808765,0.920576113,142409.56175298805,-10.96503224,7.209881423,0.828914706,169496.44268774704,25.71150983,9.063650793999999,2.505014287,359075.3968253968,23.45837302,1.120500089,353317.85714285716,-30.27971765,16.3552439,4.365003422,600212.1951219512
DIOD,Diodes Incorporated,Technology,Medium Cap Stock,6605,Plano,TX,26.94525896,3.296072001,655078.486055777,-23.97776774,20.48438735,8.087973442000001,582289.3280632411,-4.378201085,19.58753968,2.034224575,319582.5396825397,39.09051587,5.403424557,398673.01587301586,15.28714947,45.06634146,5.0938572330000005,384214.6341463415
SCL,Stepan Company,Basic Materials,Medium Cap Stock,2284,Northfield,IL,11.09239044,0.7826247270000001,54424.701195219124,47.76607986,16.39079051,3.534755241,144528.8537549407,51.06673302,24.76103175,4.001146117,126546.03174603175,91.09253968,5.59534353,82750.0,1.1624703140000001,92.15146341,7.169563087999999,114637.80487804877
SAM,"Boston Beer Company, Inc. (The)",Consumer Defensive,Medium Cap Stock,2128,Boston,MA,39.31976096,6.277157122999999,120602.390438247,1.664476785,39.97422925,5.727721289,141069.5652173913,16.50988511,46.57392857,10.71815588,96288.88888888889,340.8582937,53.93185292,162304.3650793651,20.91112859,412.1356098,63.26519873,172528.0487804878
SIGI,"Selective Insurance Group, Inc.",Financial Services,Medium Cap Stock,2300,Branchville,NJ,18.3412749,1.802300299,337065.33864541835,-6.458414365,17.15671937,1.482050511,329752.17391304346,-25.59026252,12.76626984,0.8004801690000001,190332.14285714287,69.19944444,5.881216275,270123.01587301586,-22.85607036,53.38317073,7.718561703,381491.46341463417
SYNA,Synaptics Incorporated,Technology,Medium Cap Stock,1861,San Jose,CA,23.95131474,6.666946547,1141563.346613546,2.393151249,24.52450593,5.909829673,1740445.0592885376,13.42380175,27.81662698,3.118573477,1298710.7142857143,39.67349206,10.02404232,656399.2063492064,62.53403337,64.48292683,8.215118326,739940.243902439
IGR,CBRE Clarion Global Real Estate Income Fund,Financial Services,Small Cap Stock,100000,Radnor,PA,6.364940239,0.577318886,359150.99601593625,-30.88621074,4.399051383,1.579192797,430129.6442687747,-31.41378461,3.017142857,0.353367087,424351.5873015873,6.917460317000001,0.489248446,308876.98412698414,-12.54191898,6.049878049,1.2488933309999999,626059.756097561
RWT,"Redwood Trust, Inc.",Real Estate,Small Cap Stock,372,Mill Valley,CA,16.59302789,3.704672347,513703.187250996,-35.45100699,10.71063241,3.6337608410000004,664956.1264822134,-31.94753655,7.288849206,0.471732275,717608.7301587302,15.25043651,0.63740026,916137.6984126985,-43.19155009,8.663536585,6.047849403,4642942.682926829
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Micro Cap Stock,344,Ardsley,NY,19.38832669,2.450094118,343695.219123506,20.85182293,23.43114625,5.343492693,764026.4822134387,20.88390312,28.32448413,5.600671072999999,755766.6666666666,7.8786111110000006,5.234658105,1346730.5555555555,-85.63879599,1.131463415,0.39418965799999994,1703743.9024390243
DIN,"DineEquity, Inc",Consumer Cyclical,Small Cap Stock,558,Glendale,CA,38.19139442,3.067304753,205997.609561753,-44.48773235,21.20090909,10.04496674,366922.5296442688,-4.890271933,20.16412698,4.714155384,319980.15873015876,78.55492063,7.75788993,334174.6031746032,-36.93475436,49.54085366,23.97865647,1043558.5365853659
FWRD,Forward Air Corporation,Industrials,Small Cap Stock,4640,Greeneville,TN,27.97011952,1.8764149819999998,351873.30677290837,-3.823394672,26.90071146,4.797868852,313371.9367588933,-17.82287918,22.10623016,2.019726934,180595.2380952381,62.17123016,4.343260438,149503.96825396825,-15.83708121,52.32512195,7.034800662,191203.65853658537
PBT,Permian Basin Royalty Trust,Energy,Micro Cap Stock,87000,Dallas,TX,5.559873307,0.35816789200000004,177050.59760956175,60.83408115,8.942171146,1.454716832,511641.8972332016,-19.23582632,7.222070635,1.56367177,264713.09523809527,5.142615079,1.101367344,128396.8253968254,-36.675593299999996,3.256530488,0.380231101,183946.34146341463
RVT,"Royce Value Trust, Inc.",Financial Services,Small Cap Stock,45,New York,NY,7.0019123510000005,0.399421993,96040.63745019921,-24.82573188,5.263636364,1.1719605309999999,157064.42687747037,-14.0388464,4.52468254,0.45942660700000004,238075.79365079364,12.72031746,0.648297724,263573.01587301586,-10.90592813,11.33304878,1.898136636,448090.243902439
ANDE,"The Andersons, Inc.",Consumer Defensive,Small Cap Stock,2247,Maumee,OH,23.67374502,1.8906046440000002,607017.1314741035,-13.199985,20.54881423,5.639545126,452716.99604743085,-14.61871681,17.54484127,1.947905908,333942.85714285716,27.06869048,4.940479301,178565.47619047618,-37.03372405,17.04414634,3.2643286989999996,265137.8048780488
ANH,Anworth Mortgage Asset  Corporation,Real Estate,Micro Cap Stock,13,Santa Monica,CA,1.6976517930000001,0.34814967,507225.8964143426,-9.153099702999999,1.5422640319999998,0.233645464,1430466.4031620554,35.77117517,2.09395,0.070216933,1957610.3174603174,3.465795635,0.25204338600000004,570494.8412698413,-41.0295898,2.043793902,0.981296567,1503679.268292683
SCHN,"Schnitzer Steel Industries, Inc.",Basic Materials,Small Cap Stock,3363,Portland,OR,38.78621514,8.732556534,522904.780876494,24.6120363,48.33229249,19.69746945,814660.8695652174,-21.83657622,37.77817460000001,3.405633463,670841.6666666666,22.30833333,1.526727224,229561.50793650793,-34.25075394,14.66756098,1.759861499,245775.60975609755
ABMD,"ABIOMED, Inc.",Healthcare,Large Cap Stock,1371,Danvers,MA,12.69553785,1.225518017,217919.5219123506,23.19133351,15.63980237,2.088873101,307054.1501976285,-41.75701786,9.109087302,0.938361058,243128.96825396825,248.76369049999997,59.91028775,662343.6507936508,-32.53475856,167.8290244,20.7193887,724509.756097561
EIM,Eaton Vance Municipal Bond Fund,Financial Services,Small Cap Stock,1764,Boston,MA,6.930916335,0.187340217,90690.03984063744,-12.28623611,6.079367588999999,0.9936474790000001,130039.5256916996,14.37397367,6.953214286000001,0.32087962,99220.23809523809,11.96166667,0.5763046860000001,184013.88888888888,3.659386183,12.39939024,0.702433772,238795.1219512195
SCSC,"ScanSource, Inc.",Technology,Small Cap Stock,2700,Greenville,SC,29.57948207,2.395099524,192835.85657370518,-7.339225857000001,27.40857708,5.830532487,264737.9446640316,-0.64285031,27.23238095,1.911325411,166136.90476190476,34.07912698,3.329364229,122948.80952380953,-28.03333909,24.52560976,4.724974387,154465.8536585366
DORM,"Dorman Products, Inc.",Consumer Cyclical,Medium Cap Stock,2732,Colmar,PA,6.067131474,0.788330222,14003.187250996016,-13.52680076,5.246442688,0.797837848,34880.63241106719,57.47404872,8.261785714,1.536644941,83370.63492063493,81.68230159,6.806222916,190541.26984126985,-23.24187289,62.69780488,7.001037317000001,242381.70731707316
CHY,Calamos Convertible and High Income Fund,Financial Services,Small Cap Stock,300,Naperville,IL,4.5972509960000005,0.283572941,164356.17529880477,-16.83550375,3.823280632,0.747580163,216231.62055335968,16.45342568,4.45234127,0.33972756,205011.11111111112,10.07448413,0.492637559,175561.11111111112,-3.265639391,9.745487805,1.33768563,372841.46341463417
NEOG,Neogen Corporation,Healthcare,Medium Cap Stock,1682,Lansing,MI,6.280916335,1.345628016,102367.33067729084,35.833381200000005,8.531581028,0.652246325,206187.35177865613,33.55607135,11.39444444,1.30813395,178670.2380952381,63.65130952,5.115776422,206227.77777777778,1.779562549,64.78402439,4.628797103,249697.56097560975
PDLI,"PDL BioPharma, Inc.",Healthcare,Small Cap Stock,109,Incline Village,NV,4.0451513939999995,0.462035139,2762464.940239044,-35.47987444,2.609936759,0.347443964,3059157.7075098814,33.68968646,3.48921627,0.20823983699999998,3032064.6825396824,3.044206349,0.43381997,1407999.603174603,5.141745997,3.200731707,0.309359276,1363678.0487804879
BGG,Briggs & Stratton Corporation,Industrials,Micro Cap Stock,5200,Wauwatosa,WI,19.27596733,1.976039321,672269.3227091633,-41.69185546,11.23945889,1.5412527530000002,881073.5177865613,29.08601721,14.50856984,1.6592292819999999,521869.44444444444,9.157692857,2.9578504810000004,612983.7301587302,-74.07750537,2.373902439,0.657120084,1547053.6585365853
JPC,Nuveen Preferred Income Opportunites Fund,Financial Services,Small Cap Stock,1200,Chicago,IL,4.062350598,0.27290667399999996,216650.59760956175,-28.63319177,2.89916996,0.851060323,297090.1185770751,4.787792089,3.03797619,0.33946095,238726.9841269841,9.10015873,0.551231846,239807.53968253967,-9.302037675,8.253658537,1.378427725,614039.0243902439
NYT,New York Times Company (The),Communication Services,Medium Cap Stock,4500,New York,NY,19.807450199999998,1.9631231930000002,1498255.3784860559,-32.99802213,13.2713834,3.567661085,1811629.2490118577,-32.30930195,8.983492063,1.937158891,2087994.0476190476,31.21134921,2.938661878,1844398.8095238095,10.1596629,34.38231707,3.4724831189999996,1887719.512195122
VTA,Invesco Van Kampen Dynamic Credit Opportunities Fund,Financial Services,Small Cap Stock,8900,Atlanta,GA,5.954666667000001,0.272269694,344250.0,-20.19545127,4.752094862,1.0294936140000002,269500.0,13.1664652,5.377777778,0.595822628,261410.7142857143,10.21650794,0.302934696,264604.7619047619,-11.7210651,9.01902439,1.411395081,441271.9512195122
